date,turnover,cost,port_sigma,gross_ret,net_ret,cum_gross,cum_net
2020-01-02,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-01-03,0.7486973525404309,0.0007486973525404309,0.08493298279143598,0.013905397400934598,0.013156700048394167,1.0139053974009347,1.013156700048394
2020-01-06,0.0013026474595690674,1.3026474595690674e-06,0.0899321758326796,0.010431588330112901,0.010430285682653332,1.0244820411123008,1.023724213871193
2020-01-07,0.0,0.0,0.08580940143713858,0.0042739877319253996,0.0042739877319253996,1.0288606647875926,1.0280995986021535
2020-01-08,0.0,0.0,0.08330099114056207,-0.00190813531949165,-0.00190813531949165,1.0268974594142757,1.0261378454461056
2020-01-09,0.0,0.0,0.08506474886814161,-0.004423626432481851,-0.004423626432481851,1.0223548486693623,1.0215985949496202
2020-01-10,0.0,0.0,0.0892595057963016,0.0022971064625001997,0.0022971064625001997,1.024703306599209,1.02394531568416
2020-01-13,0.012381351887928216,1.2381351887928215e-05,0.08117749346241866,0.005769713651308365,0.005757332299420437,1.0306155512558353,1.0298405091229887
2020-01-14,0.012381351887928216,1.2381351887928215e-05,0.08752329261402361,-0.0018158708366946999,-0.001828252188582628,1.0287440865324657,1.0279577009582936
2020-01-15,0.0,0.0,0.0881291864253835,0.0013566034731818,0.0013566034731818,1.0301396843332709,1.0293522319456976
2020-01-16,0.0,0.0,0.08577573229066598,0.00734213917185785,0.00734213917185785,1.0377031132620993,1.0369098792895053
2020-01-17,0.0,0.0,0.09277344582368384,0.0017788106126701497,0.0017788106126701497,1.0395489905727708,1.038754345587168
2020-01-21,0.0007738297394949134,7.738297394949134e-07,0.08769556065636273,-0.001803501921708233,-0.001804275751447728,1.037674161970563,1.0368801463097141
2020-01-22,0.012065512310922843,1.2065512310922843e-05,0.0803400000881592,0.0045225167546221415,0.004510451242311218,1.0423670607539133,1.0415569436537648
2020-01-23,0.012839342050417757,1.2839342050417757e-05,0.07843803286671587,0.0019842674275138998,0.001971428085463482,1.0444353957600807,1.0436102982650934
2020-01-24,0.0,0.0,0.07853492376006994,0.00518469221613215,0.00518469221613215,1.0498504718267307,1.0490210964551838
2020-01-27,0.0,0.0,0.07998333076335344,0.0024758509464864998,0.0024758509464864998,1.0524497451110721,1.0516183163297266
2020-01-28,0.0,0.0,0.0803183813021652,0.003038839852256851,0.003038839852256851,1.0556479713390132,1.0548140159787527
2020-01-29,0.0,0.0,0.0893657330860101,-0.00320220979941745,-0.00320220979941745,1.0522675650604563,1.0514362802002226
2020-01-30,0.0,0.0,0.0881715132568337,0.00715429970890865,0.00715429970890865,1.0597958025948624,1.058958570473595
2020-01-31,0.0,0.0,0.08987117724832583,0.0017228945713039109,0.0017228945713039109,1.0616217190298438,1.0607830444458999
2020-02-03,0.0,0.0,0.08061495828938944,-0.0017303297470237494,-0.0017303297470237494,1.05978476338932,1.0589475399889567
2020-02-04,0.0,0.0,0.08181925124932396,-0.000793145302303,-0.000793145302303,1.0589442000827856,1.0581076407222292
2020-02-05,0.0,0.0,0.08859779836429346,-0.005763273031160999,-0.005763273031160999,1.052841215532944,1.0520094774923894
2020-02-06,0.0,0.0,0.09209770762619449,0.0008577251252394995,0.0008577251252394995,1.0537442638963943,1.0529118124532246
2020-02-07,0.0,0.0,0.09323718209491319,0.0066148684101351996,0.0066148684101351996,1.0607146435400039,1.0598766855400796
2020-02-10,0.005906375751704912,5.906375751704912e-06,0.08808820154326152,0.004703176071672929,0.004697269695921224,1.0657033712703743,1.0648552121764805
2020-02-11,0.005906375751704912,5.906375751704912e-06,0.08724667042357548,0.00638564386820015,0.006379737492448445,1.0725085734684472,1.0716487088976319
2020-02-12,0.0,0.0,0.08455987597554765,-0.00338472536817215,-0.00338472536817215,1.0688784264922464,1.068021472326857
2020-02-13,0.0,0.0,0.08426310728901469,0.00026507449972014993,0.00026507449972014993,1.0691617589064104,1.0683045775843245
2020-02-14,0.0,0.0,0.08326361540312792,0.0042193386342012,0.0042193386342012,1.0736729144219745,1.07281211636162
2020-02-18,0.0,0.0,0.08228464376783799,0.00506923346391295,0.00506923346391295,1.0791156130890593,1.0782504514423714
2020-02-19,0.0,0.0,0.09084947853455186,0.008491226139051102,0.008491226139051102,1.0882786277899792,1.0874061198601024
2020-02-20,0.008743363141437893,8.743363141437894e-06,0.08246247280079717,0.005174317375172397,0.005165574012030959,1.0939097268027815,1.093023196653375
2020-02-21,0.008743363141437893,8.743363141437894e-06,0.09128524524806843,0.00388127057618885,0.0038725272130474124,1.098155486438428,1.097255958726907
2020-02-24,0.019738564973396683,1.9738564973396683e-05,0.08409901732433377,0.007338205964088395,0.0073184673991149975,1.1062139775785067,1.1052861906893345
2020-02-25,0.019738564973396683,1.9738564973396683e-05,0.08875467311640554,-0.004982363743270851,-0.005002102308244248,1.10070241716432,1.0997574360836169
2020-02-26,0.0011540717383498877,1.1540717383498878e-06,0.09285685084512316,-0.021677142045763653,-0.021678296117502004,1.0768423345173337,1.0759165687267713
2020-02-27,0.0011540717383498877,1.1540717383498878e-06,0.08976253951398656,-0.00231718524987935,-0.0023183393216177,1.0743470913433444,1.073422229038712
