date,asset,ret_1d
2011-01-04,GLD,-0.00520383667479
2011-01-04,QQQ,0.0154872784009604
2011-01-04,SPY,0.0102849248064564
2011-01-04,TLT,-0.007572147951427
2011-01-05,GLD,-0.0238324753680981
2011-01-05,QQQ,-0.00072347470808
2011-01-05,SPY,-0.0005511136072902
2011-01-05,TLT,0.0011768361790185
2011-01-06,GLD,-0.0028240572403502
2011-01-06,QQQ,0.008467778038742
2011-01-06,SPY,0.0051841764492074
2011-01-06,TLT,-0.0222735730486875
2011-01-07,GLD,-0.0040268010585284
2011-01-07,QQQ,0.0032240130151409
2011-01-07,SPY,-0.0019605542977314
2011-01-07,TLT,0.0043639773222448
2011-01-10,GLD,-0.0018697884851869
2011-01-10,QQQ,-0.0008945208281816
2011-01-10,SPY,-0.0019644056228539
2011-01-10,TLT,0.0053200045804525
2011-01-11,GLD,0.0040343221866894
2011-01-11,QQQ,0.0037517310239051
2011-01-11,SPY,-0.0012592165286221
2011-01-11,TLT,0.0053995812424415
2011-01-12,GLD,0.0058730314038275
2011-01-12,QQQ,0.0014254816234395
2011-01-12,SPY,0.0035375764400234
2011-01-12,TLT,-0.0056161357487391
2011-01-13,GLD,0.0040685267546649
2011-01-13,QQQ,0.0070972888680334
2011-01-13,SPY,0.0089840963350894
2011-01-13,TLT,-0.0078286929265527
2011-01-14,GLD,-0.0104635559024375
2011-01-14,QQQ,0.0003535523670772
2011-01-14,SPY,-0.0016346118943151
2011-01-14,TLT,0.0089111618887659
2011-01-18,GLD,-0.0101972885001168
2011-01-18,QQQ,0.0073956695989045
2011-01-18,SPY,0.0072186283201475
2011-01-18,TLT,-0.0064037118820113
2011-01-19,GLD,0.0055613419148153
2011-01-19,QQQ,0.0028030825576292
2011-01-19,SPY,0.0017000329763009
2011-01-19,TLT,-0.0046929709681856
2011-01-20,GLD,0.0021711298182139
2011-01-20,QQQ,-0.0114367664525477
2011-01-20,SPY,-0.0098538583053821
2011-01-20,TLT,0.0071942322569628
2011-01-21,GLD,-0.0190252174310584
2011-01-21,QQQ,-0.007103523298983
2011-01-21,SPY,-0.0013264010662401
2011-01-21,TLT,-0.0138898347682339
2011-01-24,GLD,-0.0012965579493562
2011-01-24,QQQ,-0.0076930391335975
2011-01-24,SPY,0.0022615980751737
2011-01-24,TLT,0.0078981717347913
2011-01-25,GLD,-0.0051264366488757
2011-01-25,QQQ,0.0137342826039335
2011-01-25,SPY,0.0056706640702085
2011-01-25,TLT,0.0004369774681095
2011-01-26,GLD,-0.0019964262189162
2011-01-26,QQQ,0.0014161449823152
2011-01-26,SPY,0.0005420069383614
2011-01-26,TLT,0.0094571361585673
2011-01-27,GLD,0.0081145474648875
2011-01-27,QQQ,0.0052929384355904
2011-01-27,SPY,0.0038633953715288
2011-01-27,TLT,-0.0152624954710843
2011-01-28,GLD,-0.0249347381829446
2011-01-28,QQQ,0.0061398047023824
2011-01-28,SPY,0.0024648192383741
2011-01-28,TLT,0.0044939370788
2011-01-31,GLD,0.0182027293237558
2011-01-31,QQQ,-0.0256855988637821
2011-01-31,SPY,-0.0176171892740538
2011-01-31,TLT,0.0052355674343119
2011-02-01,GLD,-0.0031520585138855
2011-02-01,QQQ,0.0048330973676586
2011-02-01,SPY,0.0074882680485104
2011-02-01,TLT,-0.0076444289548876
2011-02-02,GLD,0.0071355498302754
2011-02-02,QQQ,0.0185763721997634
2011-02-02,SPY,0.0158820147477807
2011-02-02,TLT,-0.0084770065639401
2011-02-03,GLD,-0.0026794741659231
2011-02-03,QQQ,-0.0015788119043552
2011-02-03,SPY,-0.0019140226299316
2011-02-03,TLT,0.000221139428973
2011-02-04,GLD,0.013325916144528
2011-02-04,QQQ,0.0017541188222868
2011-02-04,SPY,0.0022198752285183
2011-02-04,TLT,-0.0083245942728509
2011-02-07,GLD,-0.0040930344785571
2011-02-07,QQQ,0.0055924593151395
2011-02-07,SPY,0.0028251469753376
2011-02-07,TLT,-0.0101944944775099
2011-02-08,GLD,0.0001518114527852
2011-02-08,QQQ,0.0046944440150612
2011-02-08,SPY,0.0062329735041437
2011-02-08,TLT,0.005166218806801
2011-02-09,GLD,0.0110265202808607
2011-02-09,QQQ,0.0065698239837464
2011-02-09,SPY,0.0045362297801004
2011-02-09,TLT,-0.0092280614838338
2011-02-10,GLD,-0.0005258409922787
2011-02-10,QQQ,-0.0017247067902495
2011-02-10,SPY,-0.0022655427196784
2011-02-10,TLT,0.0086678572789019
2011-02-11,GLD,-0.0016546424472632
2011-02-11,QQQ,0.0015523962064722
2011-02-11,SPY,0.0003779662886844
2011-02-11,TLT,-0.0116116377984927
2011-02-14,GLD,-0.0039974315210337
2011-02-14,QQQ,0.0072127768003221
2011-02-14,SPY,0.005952572016547
2011-02-14,TLT,0.0142979821872016
2011-02-15,GLD,0.0047498081071537
2011-02-15,QQQ,0.0023928092735852
2011-02-15,SPY,0.0024010822182387
2011-02-15,TLT,0.0006704387336384
2011-02-16,GLD,0.0076428086658074
2011-02-16,QQQ,-0.0013666184191111
2011-02-16,SPY,-0.00315266879616
2011-02-16,TLT,0.004458339277817
2011-02-17,GLD,0.0009699324016305
2011-02-17,QQQ,0.0064747383233538
2011-02-17,SPY,0.0062955434997051
2011-02-17,TLT,-0.0032303110565154
2011-02-18,GLD,0.0069851453277375
2011-02-18,QQQ,-0.0003397393862905
2011-02-18,SPY,0.0029839178229451
2011-02-18,TLT,0.001560751648057
2011-02-22,GLD,0.0027362589093055
2011-02-22,QQQ,-0.0022110914348214
2011-02-22,SPY,0.0020834800346416
2011-02-22,TLT,-0.0031239430501671
2011-02-23,GLD,0.0064776791384601
2011-02-23,QQQ,-0.029373237976184
2011-02-23,SPY,-0.0202739857642227
2011-02-23,TLT,0.0148627843496593
2011-02-24,GLD,0.0089116826096806
2011-02-24,QQQ,-0.0082753778953001
2011-02-24,SPY,-0.0061632117464359
2011-02-24,TLT,0.0036265968765484
2011-02-25,GLD,-0.0075185493487721
2011-02-25,QQQ,0.0052900710885722
2011-02-25,SPY,-0.0006872426132549
2011-02-25,TLT,0.0063422213335114
2011-02-28,GLD,0.0065727918894157
2011-02-28,QQQ,0.0137981562259046
2011-02-28,SPY,0.0106360433222898
2011-02-28,TLT,0.0058689541939789
2011-03-01,GLD,0.0020360592446673
2011-03-01,QQQ,0.0020793445340284
2011-03-01,SPY,0.006177449798552
2011-03-01,TLT,0.0012995750841787
2011-03-02,GLD,0.0170697730774608
2011-03-02,QQQ,-0.0162293118036576
2011-03-02,SPY,-0.0168134931208418
2011-03-02,TLT,-0.0003247148223931
2011-03-03,GLD,-0.0007858590263391
2011-03-03,QQQ,0.0052640802075246
2011-03-03,SPY,0.0021363709867891
2011-03-03,TLT,-0.0154924089291919
2011-03-04,GLD,-0.0131651976463761
2011-03-04,QQQ,0.0195830028899488
2011-03-04,SPY,0.0170775983454677
2011-03-04,TLT,-0.0098337836451328
2011-03-07,GLD,0.0090831777503226
2011-03-07,QQQ,-0.0051617326017505
2011-03-07,SPY,-0.0075205287208486
2011-03-07,TLT,0.0082932970522019
2011-03-08,GLD,0.0026516309475596
2011-03-08,QQQ,-0.0135466224946963
2011-03-08,SPY,-0.0078818791443406
2011-03-08,TLT,-0.0064073816063701
2011-03-09,GLD,-0.0025799111915446
2011-03-09,QQQ,0.0040136088896787
2011-03-09,SPY,0.0087119158574177
2011-03-09,TLT,-0.0061142210437475
2011-03-10,GLD,0.0003587405497558
2011-03-10,QQQ,-0.0068152190402524
2011-03-10,SPY,-0.001434143284876
2011-03-10,TLT,0.0096544358650364
2011-03-11,GLD,-0.0118335989655689
2011-03-11,QQQ,-0.0157288637020872
2011-03-11,SPY,-0.0186792830982067
2011-03-11,TLT,0.0166469359532662
2011-03-14,GLD,0.0032609684267887
2011-03-14,QQQ,0.0062151009880248
2011-03-14,SPY,0.0069023504398596
2011-03-14,TLT,-0.0056638495303004
2011-03-15,GLD,0.004619608225729
2011-03-15,QQQ,-0.0035467453093952
2011-03-15,SPY,-0.006056159320269
